"Subject","Chapter","Topic"
"Mathematical Foundations","Linear Algebra","Scalars, vectors, matrices, tensors"
"Mathematical Foundations","Linear Algebra","Vector spaces, subspaces, basis, dimension, span"
"Mathematical Foundations","Linear Algebra","Linear independence and rank"
"Mathematical Foundations","Linear Algebra","Inner products, norms (L1, L2, Lp, Frobenius, nuclear, spectral)"
"Mathematical Foundations","Linear Algebra","Orthogonality, orthonormal bases, Gram-Schmidt"
"Mathematical Foundations","Linear Algebra","Matrix operations (addition, multiplication, transpose, inverse, pseudoinverse)"
"Mathematical Foundations","Linear Algebra","Determinants and trace"
"Mathematical Foundations","Linear Algebra","Eigenvalues and eigenvectors"
"Mathematical Foundations","Linear Algebra","Diagonalization"
"Mathematical Foundations","Linear Algebra","Symmetric, Hermitian, orthogonal, unitary, positive-definite matrices"
"Mathematical Foundations","Linear Algebra","Matrix decompositions (LU, QR, Cholesky, Schur, Jordan)"
"Mathematical Foundations","Linear Algebra","Singular Value Decomposition (SVD) and truncated SVD"
"Mathematical Foundations","Linear Algebra","Spectral theorem"
"Mathematical Foundations","Linear Algebra","Tensor algebra and operations (contractions, outer products, Kronecker, Hadamard)"
"Mathematical Foundations","Linear Algebra","Einstein summation notation (einsum)"
"Mathematical Foundations","Linear Algebra","Tensor decompositions (CP, Tucker, tensor train)"
"Mathematical Foundations","Linear Algebra","Sparse matrices and sparse linear algebra"
"Mathematical Foundations","Linear Algebra","Block matrices and partitioned operations"
"Mathematical Foundations","Linear Algebra","Matrix calculus identities"
"Mathematical Foundations","Linear Algebra","Numerical linear algebra (iterative solvers, Krylov methods, Lanczos, Arnoldi)"
"Mathematical Foundations","Calculus","Limits, continuity, sequences, series"
"Mathematical Foundations","Calculus","Differential calculus (derivatives, rules, higher-order derivatives)"
"Mathematical Foundations","Calculus","Integral calculus (definite, indefinite, techniques of integration)"
"Mathematical Foundations","Calculus","Multivariable calculus"
"Mathematical Foundations","Calculus","Partial derivatives"
"Mathematical Foundations","Calculus","Gradients, directional derivatives"
"Mathematical Foundations","Calculus","Jacobian matrices"
"Mathematical Foundations","Calculus","Hessian matrices and second-order derivatives"
